lake,y_true,pred,std,lo,hi
Carnegie Lake,47.175,41.39679331569658,14.713605015603385,12.558127485113943,70.23545914627921
Carnegie Lake,9.9225,12.411723541387358,9.156779391242594,0.0,30.35901114822284
Carnegie Lake,48.197500000000005,13.895800253033222,12.203500497766735,0.0,37.81466122865602
Cozy Lake,19.733333333333334,15.651697740981598,5.187308589447441,5.4845729056646135,25.818822576298583
Cozy Lake,26.049999999999997,18.717045545024813,7.696976403621185,3.6309717939272907,33.80311929612233
Cranberry Lake,6.346666666666667,9.153608201017207,3.035216107683556,3.204584629957437,15.102631772076975
Cranberry Lake,8.356666666666667,8.744810881614182,3.3707111022646545,2.138217121175459,15.351404642052906
Cranberry Lake,6.316666666666666,9.14430262948407,4.563839158374946,0.19917787906917717,18.089427379898964
Cranberry Lake,12.933333333333332,13.337560368929646,5.847567194292244,1.876328668116848,24.798792069742444
Cranberry Lake,9.58,12.925367884283586,6.9066636921211195,0.0,26.462428720840983
Cranberry Lake,5.98,10.028845592500105,4.080078578023146,2.0318915795747383,18.02579960542547
Cranberry Lake,9.675,10.67083666598638,5.825706334920112,0.0,22.089221082429802
Cranberry Lake,11.79,11.706372232272102,6.542356260557224,0.0,24.52939050296426
Cranberry Lake,11.746666666666664,10.895093460131829,4.9936469922144635,1.1075453553914798,20.682641564872178
Cranberry Lake,14.27,10.644902133355876,3.00696972795059,4.75124146657272,16.538562800139033
Cranberry Lake,16.776666666666667,14.287885717890644,3.254119251585624,7.909811984782821,20.665959450998468
Cranberry Lake,22.51,16.05164430094825,5.276987371080091,5.708749053631273,26.39453954826523
Cranberry Lake,16.974,14.257243425215483,3.973189954084446,6.4697911152099685,22.044695735220998
Cranberry Lake,8.483333333333334,12.322517871117272,9.296262000510945,0.0,30.54319139211872
Cranberry Lake,10.733333333333334,11.677164473762309,5.1629386590864215,1.5578047019529233,21.796524245571696
Cranberry Lake,3.46,9.606068245126599,6.869594859076945,0.0,23.07047416891741
Cranberry Lake,4.829999999999999,7.446012977042224,3.6625148989496332,0.2674837751009429,14.624542178983504
Cranberry Lake,5.033333333333333,6.627651337983054,4.089503979034882,0.0,14.643079136891423
Cranberry Lake,81.82000000000001,18.02499573010388,8.486835672583098,1.3907978118410078,34.65919364836675
Cranberry Lake,20.566666666666663,14.97521999457442,10.512198608918697,0.0,35.57912926805507
Cranberry Lake,5.919999999999999,12.756195046886546,8.79392660015124,0.0,29.992291183182974
Cranberry Lake,11.033333333333331,11.217616728275841,4.654089437019056,2.0956014317184906,20.339632024833193
Cranberry Lake,8.0,12.914809888691261,9.815707406693686,0.0,32.15359640581089
