timestamp_utc,relative_path,size_bytes,time_count,lat_count,lon_count
2026-07-05T09:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/186/NLDAS_FORA0125_H.A20260705.0900.020.nc,1682000,1,224,464
2026-07-05T10:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/186/NLDAS_FORA0125_H.A20260705.1000.020.nc,1718669,1,224,464
2026-07-05T11:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/186/NLDAS_FORA0125_H.A20260705.1100.020.nc,1778665,1,224,464
2026-07-05T12:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/186/NLDAS_FORA0125_H.A20260705.1200.020.nc,1830817,1,224,464
2026-07-05T13:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/186/NLDAS_FORA0125_H.A20260705.1300.020.nc,1883826,1,224,464
2026-07-05T14:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/186/NLDAS_FORA0125_H.A20260705.1400.020.nc,1881802,1,224,464
2026-07-05T15:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/186/NLDAS_FORA0125_H.A20260705.1500.020.nc,1882533,1,224,464
2026-07-05T16:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/186/NLDAS_FORA0125_H.A20260705.1600.020.nc,1890286,1,224,464
2026-07-05T17:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/186/NLDAS_FORA0125_H.A20260705.1700.020.nc,1899655,1,224,464
2026-07-05T18:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/186/NLDAS_FORA0125_H.A20260705.1800.020.nc,1909672,1,224,464
2026-07-05T19:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/186/NLDAS_FORA0125_H.A20260705.1900.020.nc,1927725,1,224,464
2026-07-05T20:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/186/NLDAS_FORA0125_H.A20260705.2000.020.nc,1940015,1,224,464
2026-07-05T21:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/186/NLDAS_FORA0125_H.A20260705.2100.020.nc,1946233,1,224,464
2026-07-05T22:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/186/NLDAS_FORA0125_H.A20260705.2200.020.nc,1968888,1,224,464
2026-07-05T23:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/186/NLDAS_FORA0125_H.A20260705.2300.020.nc,1972717,1,224,464
2026-07-06T00:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/187/NLDAS_FORA0125_H.A20260706.0000.020.nc,1968777,1,224,464
2026-07-06T01:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/187/NLDAS_FORA0125_H.A20260706.0100.020.nc,1943601,1,224,464
2026-07-06T02:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/187/NLDAS_FORA0125_H.A20260706.0200.020.nc,1866176,1,224,464
2026-07-06T03:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/187/NLDAS_FORA0125_H.A20260706.0300.020.nc,1781284,1,224,464
