lake,date,air_temp_c,specific_humidity,surface_pressure_pa,wind_speed_ms,shortwave_wm2,longwave_wm2,cape_jkg,precip_kg_m2,hours
Atsion Lake,2015-06-03,14.75333175659182,0.009377216765036186,102006.04036458333,5.941977330728341,83.00137903292973,380.63248952229816,0.0,3.6935999803245068,24
Atsion Lake,2015-06-04,15.221248881022158,0.009658004234855374,102117.2900390625,6.118155045746405,94.83108846346538,375.3512420654297,0.0,0.00039999998989515007,24
Atsion Lake,2015-06-05,15.896665191650413,0.01021944172680378,101734.87109375,4.8700045411370025,126.58975480000178,387.3399887084961,0.0,4.1587999076000415,24
Atsion Lake,2015-06-06,19.4712476094564,0.011984904413111508,101147.61490885417,2.5475771194653545,251.07717760403952,382.05166244506836,460.91736300786334,0.6251999689266086,24
Atsion Lake,2015-06-07,18.294165547688824,0.01025815432270368,101868.5673828125,2.9831262683758433,332.13860058784485,324.0129089355469,57.79467070102692,0.0,24
Atsion Lake,2015-06-08,19.883340454101585,0.011971633532084525,101471.76171875,5.886517621577242,300.1921812693278,349.5529098510742,98.58400694529216,0.03280000016093254,24
Atsion Lake,2015-06-09,23.715005493164085,0.014583466807380319,100615.26529947917,6.766533839711318,261.5736417770386,405.3187446594238,652.3520228068033,13.215199563885108,24
Atsion Lake,2016-07-07,27.262083943684917,0.017756529462834198,100765.39225260417,2.724516852892108,274.1446005503337,410.4570681254069,1183.288070678711,0.4891999824321829,24
Atsion Lake,2016-07-08,28.42374699910484,0.01843434611024956,100703.02473958333,2.5526126838837446,300.658931016922,432.1516583760579,1256.3493957519531,4.9983999049291015,24
Atsion Lake,2016-07-09,24.34415969848635,0.016839187902708847,100845.27278645833,3.911595963704547,187.20842703183493,419.5662422180176,361.1413489977519,19.649599035008578,24
Atsion Lake,2016-07-10,24.04249725341799,0.014187304341855148,100987.99479166667,3.495020782873018,316.6455541451772,390.73374048868817,255.68534663319588,0.25279999570921063,24
Atsion Lake,2016-07-11,23.767912801106792,0.012415979367991289,101610.087890625,3.158718169714646,326.2255579630534,376.268741607666,2.3386668084810176,0.0,24
