OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-129-1,Eden Mill Pond - 1,Lake,,02030103,,,,,40.8213350000,-74.4332970000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,027,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-129-2,Eden Mill Pond - 2,Lake,,02030103,,,,,40.8206150000,-74.4331200000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,027,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-130-1,Sycamore Lake - 1,Lake,,02040206,,,,,39.5575380000,-75.3326780000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,033,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-130-2,Sycamore Lake - 2,Lake,,02040206,,,,,39.5576490000,-75.3370700000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,033,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-131-1,Lower Twin Lake - 1,Lake,,02030103,,,,,41.0117970000,-74.2968000000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,031,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-132-1,Birchwood Lake - 1,Lake,,02040202,,,,,39.8667680000,-74.8187070000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,005,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-132-2,Birchwood Lake - 2,Lake,,02040202,,,,,39.8652370000,-74.8146600000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,005,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-133-1,Valhalla Lake - 1,Lake,,02030103,,,,,40.9342330000,-74.3738720000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,027,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-133-2,Valhalla Lake - 2,Lake,,02030103,,,,,40.9299460000,-74.3750480000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,027,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-134-1,Silver Lake - 1,Lake,,02020007,,,,,41.1217190000,-74.5324040000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,037,,,,,,,,,,STORET
