lake,slug,pass_date,start,end,output_dir,image_count,width,height,bands,valid_data_pixels,skipped,message
Lake Hopatcong,lake-hopatcong,2026-07-08,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,data/raw/sentinel2_sampled/lake-hopatcong/2026-07-08,1,299,300,7,89700,False,"Saved Sentinel Hub response under data/raw/sentinel2_sampled/lake-hopatcong/2026-07-08; 299x300px, 7 bands, 89700 valid data pixels."
Round Valley Reservoir,round-valley-reservoir,2026-07-08,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,data/raw/sentinel2_sampled/round-valley-reservoir/2026-07-08,1,300,300,7,90000,False,"Saved Sentinel Hub response under data/raw/sentinel2_sampled/round-valley-reservoir/2026-07-08; 300x300px, 7 bands, 90000 valid data pixels."
Budd Lake,budd-lake,2026-07-08,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,data/raw/sentinel2_sampled/budd-lake/2026-07-08,1,299,300,7,89700,False,"Saved Sentinel Hub response under data/raw/sentinel2_sampled/budd-lake/2026-07-08; 299x300px, 7 bands, 89700 valid data pixels."
